TAIL_NUM,tail_raw,tail_display,MFR,MODEL,TYPE-ACFT,TYPE-ENG,YEAR MFR,AIR WORTH DATE,STATUS CODE,MODE S CODE,MODE S CODE HEX,HAS_MODEL,FOUND_IN_MASTER,FOUND_IN_ACFTREF
N648NK,N648NK,N648NK,AIRBUS,A320-232,5,5,2017,20170426,V,52102051,A88429,True,True,True
N8812Q,N8812Q,N8812Q,BOEING,737-8,5,5,2021,20210518,V,53022071,AC2439,True,True,True
N631NK,N631NK,N631NK,AIRBUS,A320-232,5,5,2014,20141105,V,52041251,A842A9,True,True,True
N7739A,N7739A,N7739A,BOEING,737-7BD,5,5,2006,20121009,V,52473700,AA77C0,True,True,True
N870NN,N870NN,N870NN,BOEING,737-823,5,5,2011,20110822,V,52773617,ABF78F,True,True,True
N171US,N171US,N171US,AIRBUS INDUSTRIE,A321-211,5,5,2001,20010511,V,50217267,A11EB7,True,True,True
N989NN,N989NN,N989NN,BOEING,737-823,5,5,2016,20160405,V,53346714,ADCDCC,True,True,True
N403WN,N403WN,N403WN,,,,,,,,,,False,False,False
N8600F,N8600F,N8600F,BOEING,737-8H4,5,5,2012,20120416,V,52750465,ABD135,True,True,True
N116HQ,N116HQ,N116HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,5,5,2007,20070921,V,50041473,A0433B,True,True,True
N433YX,N433YX,N433YX,EMBRAER S A,ERJ 170-200 LR,5,5,2014,20140820,V,51230177,A5307F,True,True,True
N901DN,N901DN,N901DN,BOEING,737-900ER,5,5,2018,20180726,V,53071473,AC733B,True,True,True
N931NN,N931NN,N931NN,BOEING,737-823,5,5,2013,20130711,V,53165231,ACEA99,True,True,True
N442YX,N442YX,N442YX,,,,,,,,,,False,False,False
N582NN,N582NN,N582NN,BOMBARDIER INC,CL-600-2D24,5,5,2015,20151217,V,51677217,A77E8F,True,True,True
N751YX,N751YX,N751YX,EMBRAER S A,ERJ 170-200 LR,5,5,2017,20170921,V,52417774,AA1FFC,True,True,True
N429YX,N429YX,N429YX,EMBRAER S A,ERJ 170-200 LR,5,5,2014,20140617,V,51217512,A51F4A,True,True,True
N994AT,N994AT,N994AT,BOEING,717-200,5,5,2002,20021011,V,53360621,ADE191,True,True,True
N8737L,N8737L,N8737L,BOEING,737-8,5,5,2020,20201203,V,53002323,AC04D3,True,True,True
N507AY,N507AY,N507AY,AIRBUS,A321-231,5,5,2008,20081122,V,51452010,A65408,True,True,True
281NV,281NV,N281NV,AIRBUS,A320-214,5,5,,,V,50551362,A2D2F2,True,True,True
N7849A,N7849A,N7849A,BOEING,737-71B,5,5,2006,20160823,V,52521366,AAA2F6,True,True,True
N63820,N63820,N63820,BOEING,737-924ER,5,5,2014,20140326,V,52057053,A85E2B,True,True,True
N732SW,N732SW,N732SW,,,,,,,,,,False,False,False
N915NN,N915NN,N915NN,BOEING,737-823,5,5,2013,20130124,V,53125167,ACAA77,True,True,True
N243NN,N243NN,N243NN,EMBRAER S A,ERJ 170-200 LR,5,5,2016,20161020,V,50436135,A23C5D,True,True,True
N306PB,N306PB,N306PB,BOEING,737-800,5,5,2017,20170123,V,50633343,A336E3,True,True,True
N8727M,N8727M,N8727M,BOEING,737-8,5,5,2018,20180928,V,53000435,AC011D,True,True,True
N311PQ,N311PQ,N311PQ,BOMBARDIER INC,CL-600-2D24,5,5,2014,20140418,V,50645734,A34BDC,True,True,True
N979AT,N979AT,N979AT,BOEING,717-200,5,5,2002,20020823,V,53322446,ADA526,True,True,True
N454WN,N454WN,N454WN,BOEING,737-7H4,5,5,2004,20040326,V,51301371,A582F9,True,True,True
N78509,N78509,N78509,BOEING,737-824,5,5,2008,20080221,V,52522623,AAA593,True,True,True
N691CA,N691CA,N691CA,BOMBARDIER INC,CL-600-2D24,5,5,2007,20071025,V,52227240,A92EA0,True,True,True
N955NN,N955NN,N955NN,BOEING,737-823,5,5,2014,20141209,V,53244163,AD4873,True,True,True
N7867A,N7867A,N7867A,BOEING,737-7Q8,5,5,,20180302,V,52525036,AAAA1E,True,True,True
N826NN,N826NN,N826NN,BOEING,737-823,5,5,2010,20100222,V,52644136,AB485E,True,True,True
N126HQ,N126HQ,N126HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,5,5,2008,20080125,V,50065272,A06ABA,True,True,True
N575NN,N575NN,N575NN,BOMBARDIER INC,CL-600-2D24,5,5,2015,20150507,V,51661065,A76235,True,True,True
N372FR,N372FR,N372FR,AIRBUS,A320-251N,5,5,2020,20200910,V,51035706,A43BC6,True,True,True
N733UW,N733UW,N733UW,AIRBUS INDUSTRIE,A319-112,5,5,2000,20000428,V,52354007,A9D807,True,True,True
N324FR,N324FR,N324FR,AIRBUS,A320-251N,5,5,2017,20171215,V,50676671,A37DB9,True,True,True
N751SW,N751SW,N751SW,,,,,,,,,,False,False,False
N952NK,N952NK,N952NK,AIRBUS,A320-271N,5,5,2022,20220115,V,53236513,AD3D4B,True,True,True
N946AN,N946AN,N946AN,BOEING,737-823,5,5,2000,20000918,V,53221577,AD237F,True,True,True
